name,description,price,category,countInStock,imageUrl,rating,isFeatured,hasSizes,sizes
Samsung Galaxy Tab S9,11-inch AMOLED display with S Pen included, 120Hz refresh rate, and Snapdragon 8 Gen 2 processor.,699.99,Electronics,25,https://images.unsplash.com/photo-1589739900243-4b52cd9dd104?w=600&h=600&fit=crop,4.7,Yes,No,
Bose QuietComfort Earbuds,Noise cancelling wireless earbuds with 6-hour battery life and comfortable fit.,249.99,Electronics,40,https://images.unsplash.com/photo-1606220588913-b3aac6ab4f3b?w=600&h=600&fit=crop,4.6,No,No,
GoPro HERO12 Black,Waterproof action camera with 5.3K video, HyperSmooth 6.0 stabilization, and 27MP photos.,399.99,Electronics,20,https://images.unsplash.com/photo-1504215680853-026ed2a45ad0?w=600&h=600&fit=crop,4.8,Yes,No,
Under Armour Hoodie,Soft fleece hoodie with front pocket and adjustable drawstring hood.,64.99,Clothing,0,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=600&h=600&fit=crop,4.5,No,Yes,"size:S,price:64.99,stock:20|size:M,price:64.99,stock:30|size:L,price:64.99,stock:25|size:XL,price:64.99,stock:15"
Puma Sneakers,Lightweight running shoes with cushioned sole and breathable mesh upper.,79.99,Clothing,0,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=600&h=600&fit=crop,4.4,No,Yes,"size:7,price:79.99,stock:15|size:8,price:79.99,stock:20|size:9,price:79.99,stock:20|size:10,price:79.99,stock:15"
Calvin Klein Dress Shirt,Wrinkle-resistant formal shirt with classic fit and button-down collar.,49.99,Clothing,0,https://images.unsplash.com/photo-1598033129183-c4f50c736f10?w=600&h=600&fit=crop,4.3,No,Yes,"size:S,price:49.99,stock:25|size:M,price:49.99,stock:30|size:L,price:49.99,stock:25|size:XL,price:49.99,stock:15"
Ninja Blender,Professional 1000W blender with auto-iQ technology for smoothies and frozen drinks.,99.99,Home,35,https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=600&h=600&fit=crop,4.7,Yes,No,
Memory Foam Pillow,Ergonomic cervical pillow with cooling gel layer and removable washable cover.,39.99,Home,60,https://images.unsplash.com/photo-1584100936595-c0654b55a2e6?w=600&h=600&fit=crop,4.6,No,No,
Electric Kettle,Stainless steel 1.7L kettle with fast boiling and auto shut-off feature.,34.99,Home,45,https://images.unsplash.com/photo-1594225025119-11e842a3d3b1?w=600&h=600&fit=crop,4.5,No,No,
Vitamins Multivitamin Pack,Complete daily multivitamin with 20 essential nutrients for adults.,24.99,Other,100,https://images.unsplash.com/photo-1584308666744-1b4190c4c1b5?w=600&h=600&fit=crop,4.4,No,No,
Sunscreen SPF 50,Broad spectrum UVA/UVB protection water-resistant sunscreen for all skin types.,14.99,Other,80,https://images.unsplash.com/photo-1556228578-8c89e6adf883?w=600&h=600&fit=crop,4.3,No,No,
Protein Powder,100% whey protein isolate with 25g protein per serving. Chocolate flavor.,49.99,Other,70,https://images.unsplash.com/photo-1579722821276-1c1c6d9a8b8b?w=600&h=600&fit=crop,4.5,No,No,
Yoga Block Set,EVA foam yoga blocks for balance and stability during practice. Set of 2.,14.99,Sports,90,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=600&h=600&fit=crop,4.4,No,No,
Weight Lifting Gloves,Padded leather gym gloves with wrist wrap support for weightlifting.,19.99,Sports,110,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2?w=600&h=600&fit=crop,4.3,No,No,
Fitness Tracker Watch,Activity tracker with heart rate monitor, step counter, and sleep tracking.,34.99,Sports,65,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=600&h=600&fit=crop,4.2,No,Yes,"size:S,price:34.99,stock:30|size:M,price:34.99,stock:35|size:L,price:34.99,stock:20"
Men's Leather Belt,100% genuine leather belt with polished buckle. Available in black and brown.,29.99,Clothing,0,https://images.unsplash.com/photo-1585081662426-6480f2c3e4b6?w=600&h=600&fit=crop,4.4,No,Yes,"size:30,price:29.99,stock:25|size:32,price:29.99,stock:30|size:34,price:29.99,stock:25|size:36,price:29.99,stock:20"
Winter Beanie Hat,Soft acrylic knit beanie with warm fleece lining for cold weather.,19.99,Clothing,0,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=600&h=600&fit=crop,4.5,No,Yes,"size:S/M,price:19.99,stock:40|size:L/XL,price:19.99,stock:35"
Desk Office Chair,Ergonomic mesh office chair with adjustable height and lumbar support.,199.99,Home,20,https://images.unsplash.com/photo-1589384267710-7a170981ca78?w=600&h=600&fit=crop,4.6,Yes,No,
Bamboo Cutting Board,Eco-friendly bamboo cutting board with juice groove and non-slip edges.,29.99,Home,55,https://images.unsplash.com/photo-1592853625511-ad0ecc5c77e3?w=600&h=600&fit=crop,4.5,No,No,
Travel Duffel Bag,40L water-resistant duffel bag with shoe compartment and shoulder strap.,49.99,Sports,40,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=600&h=600&fit=crop,4.4,No,No,
